formatted_path,sum_pageviews,sum_unique_pageviews,sum_time_on_page,time_per_view,name,nouns
/blog/2020/08/24/profit-driven-retention-management-with-machine-learning,1392,1218,604648,434.3735632183908,profit driven retention management with machine learning,"[""profit"",""retention"",""management"",""machine"",""learning""]"
/blog/2020/09/15/easily-clone-your-delta-lake-for-testing-sharing-and-ml-reproducibility,2198,1966,897869,408.4936305732484,easily clone your delta lake for testing sharing and ml reproducibility,"[""clone"",""delta"",""lake"",""testing"",""sharing"",""ml"",""reproducibility""]"
/blog/2020/10/13,1,1,5,5,NA,[]
/blog/2021/04/13,1,1,5,5,NA,[]
/blog/2021/06/23,3,2,57,19,NA,[]
/blog/2020/06/17/customer-lifetime-value-part-2-estimating-future-spend,951,754,514013,540.4973711882229,customer lifetime value part 2 estimating future spend,"[""customer"",""lifetime"",""value"",""part-2"",""estimating"",""future""]"
/blog/2021/07/22/improving-patient-insights-with-textual-etl-in-the-lakehouse-paradigm,889,781,414598,466.3644544431946,improving patient insights with textual etl in the lakehouse paradigm,"[""patient"",""insights"",""etl"",""lakehouse"",""paradigm""]"
/blog/2021/08/30/frequently-asked-questions-about-the-data-lakehouse,7350,6277,4758573,647.4248979591837,frequently asked questions about the data lakehouse,"[""questions"",""data"",""lakehouse""]"
/blog/2020/04/22/how-a-fresh-approach-to-safety-stock-analysis-can-optimize-inventory,108,94,14218,131.64814814814815,how a fresh approach to safety stock analysis can optimize inventory,"[""approach"",""safety"",""stock"",""analysis"",""optimize"",""inventory""]"
/blog/2020/06/19/null,1,1,0,0,null,[]
/blog/2020/07/09/the-data-community-raised-a-total-of-101626-to-help-organizations-fight-racial-injustice-thank-you-to-all-who-donated,141,126,76564,543.0070921985815,the data community raised a total of 101626 to help organizations fight racial injustice thank you to all who donated,"[""data"",""community"",""total"",""of-101626"",""organizations"",""fight"",""injustice"",""thank""]"
/blog/2020/08/18,1,1,4,4,NA,[]
/blog/2021/03/16/productionize-data-science-with-repos-on-databricks,1679,1478,791060,471.1494937462775,productionize data science with repos on databricks,"[""productionize"",""data"",""science"",""repos"",""databricks""]"
/blog/2021/04/14/7-reasons-to-learn-pytorch-on-databricks,608,563,182639,300.3930921052632,7 reasons to learn pytorch on databricks,"[""reasons"",""pytorch"",""databricks""]"
/blog/2020/06/26/meet-the-2020-databricks-data-team-awards-winners,1422,1288,374292,263.2151898734177,meet the 2020 databricks data team awards winners,"[""meet"",""the-2020"",""databricks"",""data"",""team"",""awards"",""winners""]"
/blog/2021/05/17/guide-to-healthcare-life-sciences-sessions-at-data-ai-summit-2021,158,139,118329,748.9177215189874,guide to healthcare life sciences sessions at data ai summit 2021,"[""guide"",""healthcare"",""life"",""sciences"",""sessions"",""data"",""ai"",""summit-2021""]"
/blog/2020/06/05/automate-continuous-integration-and-continuous-delivery-on-databricks-using-databricks-labs-ci-cd-templates,1713,1529,1044862,609.9603035610041,automate continuous integration and continuous delivery on databricks using databricks labs ci cd templates,"[""automate"",""integration"",""delivery"",""databricks"",""databricks"",""labs"",""ci"",""cd"",""templates""]"
/blog/2021/06/07/women-in-product-at-databricks,205,171,96523,470.8439024390244,women in product at databricks,"[""women"",""product"",""databricks""]"
/blog/2021/09/16/large-scale-etl-and-lakehouse-implementation-at-asurion,2880,2491,1275839,442.9996527777778,large scale etl and lakehouse implementation at asurion,"[""scale"",""etl"",""lakehouse"",""implementation"",""asurion""]"
/blog/2021/01/08/lakehouse-architecture-realized-enabling-data-teams-with-faster-cheaper-and-more-reliable-open-architectures,1127,993,550828,488.75598935226265,lakehouse architecture realized enabling data teams with faster cheaper and more reliable open architectures,"[""lakehouse"",""architecture"",""data"",""teams"",""architectures""]"
/blog/2021/02/16/paths-crossed-again,2166,1900,611184,282.17174515235456,paths crossed again,"[""paths""]"
/blog/2020/06/16/healthcare-and-life-sceinces-sessions-you-dont-want-to-miss-at-spark-ai-simmit-2020,1,1,0,0,healthcare and life sceinces sessions you dont want to miss at spark ai simmit 2020,"[""healthcare"",""life"",""sceinces"",""sessions"",""dont"",""spark"",""ai"",""simmit-2020""]"
/blog/2020/09/11/announcing-databricks-labs-terraform-integration-on-aws-and-azure,6541,5790,2772674,423.89145390613055,announcing databricks labs terraform integration on aws and azure,"[""databricks"",""labs"",""terraform"",""integration"",""aws""]"
/blog/2020/12/10/azure-databricks-now-generally-available-in-the-azure-china-region,201,188,36739,182.7810945273632,azure databricks now generally available in the azure china region,"[""azure"",""databricks"",""azure"",""china"",""region""]"
/blog/2021/05/27/,1,1,547,547,,[]
/blog/2020/08/08,1,1,16,16,NA,[]
/blog/2020/12/18/personalizing-the-customer-experience-with-recommendations,1531,1179,574748,375.4069235793599,personalizing the customer experience with recommendations,"[""customer"",""experience"",""recommendations""]"
/blog/2021/05/25/announcing-labelspark-the-labelbox-connector-on-databricks,603,521,407754,676.2089552238806,announcing labelspark the labelbox connector on databricks,"[""labelspark"",""labelbox"",""connector"",""databricks""]"
/blog/2020/04/23/glow-0-3-0-introduces-new-large-scale-genomic-analysis-features,61,55,30707,503.39344262295083,glow 0 3 0 introduces new large scale genomic analysis features,"[""glow-0"",""introduces"",""scale"",""analysis"",""features""]"
/blog/2020/06/05/modernizing-risk-management-part-1-aggregations-backtesting-at-scale-and-introducing-alternative-data,3,2,48,16,modernizing risk management part 1 aggregations backtesting at scale and introducing alternative data,"[""risk"",""management"",""aggregations"",""backtesting"",""scale"",""data""]"
/blog/2020/10/29/ten-simple-databricks-notebook-tips-tricks-for-data-scientists,1467,1369,606760,413.60599863667346,ten simple databricks notebook tips tricks for data scientists,"[""databricks"",""notebook"",""tips"",""tricks"",""data"",""scientists""]"
/blog/2021/06/17/announcing-photon-public-preview-the-next-generation-query-engine-on-the-databricks,34,25,22665,666.6176470588235,announcing photon public preview the next generation query engine on the databricks,"[""photon"",""preview"",""generation"",""query"",""engine"",""databricks""]"
/blog/2020/08/25/womens-equality-day-cultivating-leadership-communication-and-negotiation-skills,1,1,1118,1118,womens equality day cultivating leadership communication and negotiation skills,"[""womens"",""equality"",""day"",""leadership"",""communication"",""negotiation"",""skills""]"
/blog/2020/10/05/flipp-presents-their-lakehouse-architecture-with-delta-lake-at-tableau-conference,480,416,123362,257.00416666666666,flipp presents their lakehouse architecture with delta lake at tableau conference,"[""flipp"",""lakehouse"",""architecture"",""delta"",""lake"",""tableau"",""conference""]"
/blog/2021/02/11/azure-databricks-achieves-dod-impact-level-5-il5-on-microsoft-azure-government,464,429,168150,362.39224137931035,azure databricks achieves dod impact level 5 il5 on microsoft azure government,"[""azure"",""databricks"",""dod"",""impact"",""il5"",""microsoft"",""azure"",""government""]"
/blog/2021/05/27/introducing-databricks-machine-learning-a-data-native-collaborative-full-ml-lifecycle-solution,3768,3268,1717355,455.77361995753716,introducing databricks machine learning a data native collaborative full ml lifecycle solution,"[""databricks"",""machine"",""data"",""collaborative"",""ml"",""lifecycle"",""solution""]"
/blog/2021/09/08/introducing-the-databricks-community-online-discussions-for-data-ai-practitioners,1652,1452,700661,424.1289346246973,introducing the databricks community online discussions for data ai practitioners,"[""databricks"",""community"",""online"",""discussions"",""data"",""ai"",""practitioners""]"
/blog/2020/06/02/monitor-your-databricks-workspace-with-audit-logs,2248,2010,1089986,484.86921708185054,monitor your databricks workspace with audit logs,"[""monitor"",""databricks"",""workspace"",""audit"",""logs""]"
/blog/2021/02/16/announcing-the-launch-of-databricks-on-google-cloud,26,16,11991,461.1923076923077,announcing the launch of databricks on google cloud,"[""launch"",""databricks"",""google"",""cloud""]"
/blog/2021/04/02,1,1,0,0,NA,[]
/blog/2021/06/04,2,1,26,13,NA,[]
